Time: 10/02/2014 00:07:06
Tick:103, Total waiting time : 212,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:104, Total waiting time : 215,   Total # of processes: 21,  ASPAverage Waiting Time: 9.294117647058824,   Finished P.: 17,   total respond time: 602,  Average response time: 35.411766,   Max length readylist: 9
Tick:105, Total waiting time : 217,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:106, Total waiting time : 144,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:107, Total waiting time : 146,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:108, Total waiting time : 148,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:109, Total waiting time : 150,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:110, Total waiting time : 152,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:111, Total waiting time : 154,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:112, Total waiting time : 156,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
Tick:113, Total waiting time : 158,   Total # of processes: 21,  ASPAverage Waiting Time: 13.166666666666666,  Finished P.: 18,   total respond time: 767,  Average response time: 42.61111,    Max length readylist: 9
